period,account_code,account_name,account_type,debit,credit,ending_balance,source
2025-08,6900,Utilities,Expense,2435.78,0,2435.78,GL
2025-09,1000,Cash,Asset,331465.86,316868.86,389208.8000000001,GL
2025-09,1100,Accounts Receivable,Asset,338456.07,331465.86,220977.28000000006,GL
2025-09,1500,Fixed Assets,Asset,0,0,53920.14,GL
2025-09,1600,Accumulated Depreciation,Asset,0,2000,42000,GL
2025-09,2000,Accounts Payable,Liability,118595.31,120789.46,79063.56999999989,GL
2025-09,3000,Common Stock,Equity,0,0,650000,GL
2025-09,3900,Retained Earnings,Equity,0,0,-106957.35,derived_plug
2025-09,4000,Product Revenue,Revenue,0,309023.69,309023.69,GL
2025-09,4100,Service Revenue,Revenue,0,29432.38,29432.38,GL
2025-09,5000,Cost of Goods Sold,Expense,94822.41,0,94822.41,GL
2025-09,6000,Salaries & Wages,Expense,127371.3,0,127371.3,GL
2025-09,6100,Employee Benefits,Expense,28705.46,0,28705.46,GL
2025-09,6200,Software & Subscriptions,Expense,10194.04,0,10194.04,GL
2025-09,6300,Marketing & Advertising,Expense,19372.96,0,19372.96,GL
2025-09,6400,Travel & Entertainment,Expense,15519.54,0,15519.54,GL
2025-09,6500,Professional Fees,Expense,6594.09,0,6594.09,GL
2025-09,6600,Rent & Facilities,Expense,13200,0,13200,GL
2025-09,6700,Depreciation,Expense,2000,0,2000,GL
2025-09,6800,Office Supplies,Expense,1093.77,0,1093.77,GL
2025-09,6900,Utilities,Expense,2189.44,0,2189.44,GL
2025-10,1000,Cash,Asset,339273.74,354156,374326.5400000001,GL
2025-10,1100,Accounts Receivable,Asset,344479,339273.74,226182.54000000007,GL
2025-10,1500,Fixed Assets,Asset,9513.81,0,63433.95,GL
2025-10,1600,Accumulated Depreciation,Asset,0,2000,44000,GL
2025-10,2000,Accounts Payable,Liability,152712.7,175457.62,101808.48999999987,GL
2025-10,3000,Common Stock,Equity,0,0,650000,GL
2025-10,3900,Retained Earnings,Equity,0,0,-131865.46,derived_plug
2025-10,4000,Product Revenue,Revenue,0,306781.46,306781.46,GL
2025-10,4100,Service Revenue,Revenue,0,37697.54,37697.54,GL
2025-10,5000,Cost of Goods Sold,Expense,98273.22,0,98273.22,GL
2025-10,6000,Salaries & Wages,Expense,130815.35,0,130815.35,GL
2025-10,6100,Employee Benefits,Expense,29614.84,0,29614.84,GL
2025-10,6200,Software & Subscriptions,Expense,52544.97,0,52544.97,GL
2025-10,6300,Marketing & Advertising,Expense,29073.16,0,29073.16,GL
2025-10,6400,Travel & Entertainment,Expense,4286.76,0,4286.76,GL
2025-10,6500,Professional Fees,Expense,6111.24,0,6111.24,GL
2025-10,6600,Rent & Facilities,Expense,13200,0,13200,GL
2025-10,6700,Depreciation,Expense,2000,0,2000,GL
2025-10,6800,Office Supplies,Expense,1392.93,0,1392.93,GL
2025-10,6900,Utilities,Expense,2074.64,0,2074.64,GL
2025-11,1000,Cash,Asset,351950.22,359913.12,366363.6400000001,GL
2025-11,1100,Accounts Receivable,Asset,360401.21,351950.22,234633.53000000006,GL
2025-11,1500,Fixed Assets,Asset,0,0,63433.95,GL
2025-11,1600,Accumulated Depreciation,Asset,0,2000,46000,GL
2025-11,2000,Accounts Payable,Liability,170216.03,181884.92,113477.37999999986,GL
2025-11,3000,Common Stock,Equity,0,0,650000,GL
2025-11,3900,Retained Earnings,Equity,0,0,-145046.26,derived_plug
2025-11,4000,Product Revenue,Revenue,0,326057.67,326057.67,GL
2025-11,4100,Service Revenue,Revenue,0,34343.54,34343.54,GL
2025-11,5000,Cost of Goods Sold,Expense,109397.69,0,109397.69,GL
2025-11,6000,Salaries & Wages,Expense,129735.61,0,129735.61,GL
2025-11,6100,Employee Benefits,Expense,29124.66,0,29124.66,GL
2025-11,6200,Software & Subscriptions,Expense,10311.07,0,10311.07,GL
2025-11,6300,Marketing & Advertising,Expense,66691.92,0,66691.92,GL
2025-11,6400,Travel & Entertainment,Expense,4210.88,0,4210.88,GL
2025-11,6500,Professional Fees,Expense,5795.31,0,5795.31,GL
2025-11,6600,Rent & Facilities,Expense,13200,0,13200,GL
2025-11,6700,Depreciation,Expense,2000,0,2000,GL
2025-11,6800,Office Supplies,Expense,1098.43,0,1098.43,GL
2025-11,6900,Utilities,Expense,2016.44,0,2016.44,GL
2025-12,1000,Cash,Asset,354305.85,340153.62,380515.87000000005,GL
2025-12,1100,Accounts Receivable,Asset,355876.28,354305.85,236203.9600000001,GL
2025-12,1500,Fixed Assets,Asset,0,0,63433.95,GL
2025-12,1600,Accumulated Depreciation,Asset,0,2000,48000,GL
2025-12,2000,Accounts Payable,Liability,150079.59,136655.29,100053.07999999987,GL
2025-12,3000,Common Stock,Equity,0,0,650000,GL
2025-12,3900,Retained Earnings,Equity,0,0,-117899.3,derived_plug
2025-12,4000,Product Revenue,Revenue,0,319665.37,319665.37,GL
2025-12,4100,Service Revenue,Revenue,0,36210.91,36210.91,GL
2025-12,5000,Cost of Goods Sold,Expense,102205.4,0,102205.4,GL
2025-12,6000,Salaries & Wages,Expense,129982.08,0,129982.08,GL
2025-12,6100,Employee Benefits,Expense,27654.15,0,27654.15,GL
2025-12,6200,Software & Subscriptions,Expense,11658.41,0,11658.41,GL
2025-12,6300,Marketing & Advertising,Expense,28910.98,0,28910.98,GL
2025-12,6400,Travel & Entertainment,Expense,4164.39,0,4164.39,GL
2025-12,6500,Professional Fees,Expense,5538.91,0,5538.91,GL
2025-12,6600,Rent & Facilities,Expense,13200,0,13200,GL
2025-12,6700,Depreciation,Expense,2000,0,2000,GL
2025-12,6800,Office Supplies,Expense,1200.28,0,1200.28,GL
2025-12,6900,Utilities,Expense,2214.72,0,2214.72,GL
